"Customer Name","Customer Code","Address 1","Address 2","City","State","Zip","Ad Source","Phone","Target","Ad Cost","Cost Base","Start Date","End Date"
"Stor-Mor Self Storage 3","25473-1","null",,"null","AL","null","Listing","(866) 711-5880 ","(719) 591-8901 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-Mor Self Storage 4","25473-2","null",,"null","AL","null","Listing","(970) 372-4223 ","(970) 416-1801 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-Mor Self Storage 5","25473-3","null",,"null","AL","null","Listing","(970) 672-4482 ","(970) 493-8313 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-Mor Self Storage 6","25473-4","null",,"null","AL","null","Listing","(714) 676-4224 ","(714) 630-4011 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-Mor Self Storage 7","25473-5","null",,"null","AL","null","Listing","(310) 421-4290 ","(310) 542-7272 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-Mor Self Storage 8","25473-6","null",,"null","AL","null","Listing","(714) 252-4199 ","(714) 826-2242 ",$0.00,"n/a",03/29/11,"03/28/2017
"
"Stor-N-Lock Self Storage - Westland","25394-30","null",,"null","MI","null","Online Listing","(732) 964-9839 ","(732) 474-7908 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Storage Masters","25323-0","null",,"null","AL","null","Online Listing","(888) 657-1710 ","(888) 978-6739 ",$0.00,"n/a",04/14/11,"04/13/2017
"
"Storage Unlimited","25394-3","null",,"null","MI","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/05/11,"05/04/2017
"
"Store More - Buckeye","25538-18","null",,"null","AZ",85326,"Online Listing","(623) 239-0572 ","(623) 386-0107 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Store More - Hesperia","25538-26","null",,"null","CA",92345,"Online Listing","(760) 646-8019 ","(760) 947-5838 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Store More - Peoria","25538-16","null",,"null","AZ",85323,"Online Listing","(623) 239-0603 ","(623) 872-1560 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Store More - Phoenix","25538-24","null",,"null","AZ",85037,"Online Listing","(623) 239-0574 ","(623) 936-3050 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Store More - Queen Creek","25538-23","null",,"null","AZ",85142,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Sunset Mini Road","25538-9","null",,"null","NV",89120,"Online Listing","(702) 529-2075 ","(702) 435-1164 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Sunset Storage","25538-30","null",,"null","CA",92220,"Online Listing","(951) 402-2971 ","(951) 849-5270 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Tame","3544576","null",,"null","AL","null","To be determined","(619) 399-7569 ","(619) 427-2122 ",$0.00,"n/a",01/18/11,"01/17/2017
"
"The StorRoom - Canton","25394-26","null",,"null","MI","null","Online Listing","(732) 812-0821 ","(732) 707-1991 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"The Storage Chest - Ann Arbor","25394-23","null",,"null","MI","null","Online Listing","none defined ","none defined ",$0.00,"n/a",05/06/11,05/05/17
"The Storage Chest - Ann Arbor","25394-23","null",,"null","MI","null","Online Listing","(732) 709-1364 ","(732) 686-6221 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"U Box It Self Storage","3595430","null",,"null","AL","null","Listing","(267) 244-7975 ","(267) 237-1656 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"U Stor It Mini Storage","3595434","null",,"null","AL","null","Listing","(505) 349-4966 ","(505) 296-2712 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"US Self StorageLocator.com LLC","3399238","null",,"null","null","null","no active campaigns found","none defined ","none defined ","n/a","n/a","n/a","n/a
"
"Universal Self Storage","25538-35","null",,"null","CA","null","Online Listing","(818) 334-8063 ","(818) 761-1600 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"Wyoming Self Storage","25394-16","null",,"null","MI","null","Online Listing","(616) 371-1112 ","(616) 258-2429 ",$0.00,"n/a",05/06/11,"05/05/2017
"
"Xpress Storage","25482-1","null",,"null","FL","null","Online Listing","(941) 531-9176 ","(941) 462-2517 ",$0.00,"n/a",05/09/11,"05/08/2017
"
"Your Storage Solution - Bloomington","25538-19","null",,"null","MN",55431,"Online Listing","(888) 816-5129 ","(952) 888-0825 ",$0.00,"n/a",05/18/11,05/17/17
